Value,Count,Footprint,PartNum,Refs,Mfg Name,Mouser Part Number,Description,Price 1,Data Sheet URL,Min\Mult Order Qty
10uF,6,1210,C3225X7R1E106KT,"C1, C16, C17, C18, C23, C24",TDK,810-C3225X7R1E106K,Multilayer Ceramic Capacitors (MLCC) - SMD/SMT Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 10UF 25V 10%,$0.57 ,http://www.tdk.co.jp/tefe02/e412_c.pdf,1\1
1uF,8,603,CGA3E1X7R1E105K,"C2, C3, C4, C5, C12, C13, C14, C15",TDK,810-CGA3E1X7R1E105K,Multilayer Ceramic Capacitors (MLCC) - SMD/SMT Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0603 1uF 25volts X7R +/-10%,$0.27 ,http://www.tdk.com/pdf/general_B11.pdf,1\1
0.1uF,6,603,GRM188R71H104KA93J,"C6, C7, C8, C9, C10, C11",Murata,81-GRM188R71H104KA93,Multilayer Ceramic Capacitors (MLCC) - SMD/SMT Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0603 0.1uF 50volts X7R 10%,$0.06 ,http://www.murata.com/products/catalog/pdf/c02e.pdf,1\1
10nF,4,603,VJ0603Y103JXAAC,"C19, C20, C21, C22",Vishay,77-VJ0603Y103JXAAC,Multilayer Ceramic Capacitors (MLCC) - SMD/SMT Multilayer Ceramic Capacitors (MLCC) - SMD/SMT 0.01uF 50volts X7R 5%,$0.13 ,http://www.vishay.com/doc?45199,1\1
124k,1,603,RG1608P-1243-B-T5,R1,Susumu,754-RG1608P-1243-BT5,Thin Film Resistors - SMD Thin Film Resistors - SMD 1/10W 124Kohm 0.1% 25ppm,$0.42 ,http://susumu-usa.com/pdf/RG_RM_RGH_DATASHEET.pdf,1\1
68.1k,1,603,ERA-3AEB6812V,R3,Panasonic,667-ERA-3AEB6812V,Thin Film Resistors - SMD Thin Film Resistors - SMD 0603 68.1Kohm 0.1% 25ppm,$0.22 ,http://www.mouser.com/catalog/specsheets/AOA0000CE26.pdf,1\1
39.2k,2,603,ERA-3AEB3922V,"R2,R4",Panasonic,667-ERA-3AEB3922V,Thin Film Resistors - SMD Thin Film Resistors - SMD 0603 39.2Kohm 0.1% 25ppm,$0.22 ,http://www.mouser.com/catalog/specsheets/AOA0000CE26.pdf,1\1
47uH,2,4.8mm,SRR4028-470Y,"L1, L2",Bourns,652-SRR4028-470Y,Power Inductors Power Inductors 47uH,$0.67 ,http://www.bourns.com/data/global/pdfs/SRR4028.pdf,1\1
5V_to_9V,1,SIP7,R05P209S,U1,RECOM Power,919-R05P209S,DC/DC Converters & Regulators DC/DC Converters & Regulators 2W DC/DC 5.2kV UNREG 5Vin 9Vout,$13.80 ,http://www.recom-international.com/pdf/Econoline/RxxP2xx.pdf,1\1
CONN_2,2,SIP2,68001-202H,"P2, P3",FCI,649-68001-202H,Headers & Wire Housings Headers & Wire Housings BRKAWY HDR STR SR 1X02 230/120,$0.08 ,http://portal.fciconnect.com/res/en/pdffiles/doc_search/68000.pdf,1\1
CONN_3,1,SIP3,69190-103HLF,K1,FCI,649-69190-103HLF,Headers & Wire Housings Headers & Wire Housings 3POS HDR 30AU,$0.12 ,http://portal.fciconnect.com/Comergent/fci/drawing/69190.pdf,1\1
CONN_4,1,SIP4,929974-01-04-RK,P4,3M,517-974-01-04-RK,Headers & Wire Housings Headers & Wire Housings 4P 1ROW STRT SOCKET,$0.41 ,http://multimedia.3m.com/mws/mediawebserver?mwsId=66666UuZjcFSLXTt4Xf_LXs6EVuQEcuZgVs6EVs6E666666--,1\1
CONN_20,2,SIP20,929850-01-20-RB,"P1, P5",3M,517-929850-01-20-RB,Headers & Wire Housings Headers & Wire Housings 20P STRT BRD MNT SKT 1 ROW 30MICRO  AU,$1.96 ,http://multimedia.3m.com/mws/mediawebserver?mwsId=66666UuZjcFSLXTt4Xf_LXs6EVuQEcuZgVs6EVs6E666666--,1\1
100k,3,6.4x3.2mm,EXB-A10P104J,"RR1, RR2, RR3",Panasonic,667-EXB-A10P104J,Resistor Networks & Arrays Resistor Networks & Arrays 100K OHM 5%,$0.99 ,http://www.panasonic.com/industrial/components/pdf/010_er60_exb_d_e_a_q_dne.pdf,1\1
100,6,6.4x1.6mm,CN1J8TTE101J,"RP1, RP2, RP3, RP4, RP5, RP6",KOA Speer,660-CN1J8TTE101J,Resistor Networks & Arrays Resistor Networks & Arrays 1/16watt 100ohms 5% CONCAVE SQUARE,$0.37 ,http://www.koaspeer.com/pdfs/res25.pdf,1\1
SI8660,3,WB-SOIC-16,Si8660BD-B-IS,"U2, U3, U4",Silicon Laboratories,634-SI8660BD-B-IS,Isolator Interface IC Isolator Interface IC 6 Ch 5.0 kV Isolator 150M 6/0 WB,$6.07 ,http://www.silabs.com/Support%20Documents/TechnicalDocs/Si866x.pdf,1\1
TPS7A49XX,2,MSOP8-PwPd,TPS7A4901DGNT,"U5, U6",Texas Instruments,595-TPS7A4901DGNT,"Low Dropout (LDO) Regulators Low Dropout (LDO) Regulators Vin 3-36V,150mA,High PSRR, LDO Reg",$3.25 ,http://www.ti.com/lit/gpn/tps7a4901,1\1
jumper,3,2.54mm,969102-0000-DA,,3M,517-9691020000DA,Headers & Wire Housings Headers & Wire Housings 2.54MM SHUNT,$0.11 ,http://multimedia.3m.com/mws/mediawebserver?mwsId=66666UuZjcFSLXTtNxTElXf6EVuQEcuZgVs6EVs6E666666--,1\1
